name,source,gender,wikidata,type
"Rue Coutelier Mathieu",,,,way
"Rue Dachet",,,,way
"Rue Del'Grète",,,,way
"Rue Delcarte",,,,way
"Rue Deldime",,,,way
"Rue Deloge",,,,way
"Rue Delvaux",,,,way
"Rue Denis-Georges Bayar",,,,way
"Rue Derenne-Deldinne",,,,way
"Rue Désiré Chaboteau",,,,way
"Rue Désiré Sorée",,,,way
"Rue Dewez",,,,way
"Rue Dieudonnée Morel",,,,way
"Rue Dix-Bonniers",,,,way
"Rue Docteur Haibe",,,,way
"Rue Docteur Willy Peers",,,,way
"Rue Dohet",,,,way
"Rue Don Juan d'Autriche",,,,way
"Rue Duhainaut",,,,way
"Rue Dupont",,,,way
"Rue Edmond Delahaut",,,,way
"Rue Edmond Tillieux",,,,way
"Rue Édouard Binamé - Ry de Flandre",,,,way
"Rue Édouard Ronvaux",,,,way
"Rue Elie Puissant",,,,way
"Rue Émile Cuvelier",,,,way
"Rue Emile Dessenius",,,,way
"Rue Emile Marnach",,,,way
"Rue Emile Mazy",,,,way
"Rue Emile Melchior",,,,way
"Rue Emile Vandervelde",,,,way
"Rue Ernest Aléaume",,,,way
"Rue Ernest Antoine",,,,way
"Rue Ernest Deprez",,,,way
"Rue Ernest Moëns",,,,way
"Rue Ernotte",,,,way
"Rue Erpent-Val",,,,way
"Rue Es Fays",,,,way
"Rue Eugène Colignon",,,,way
"Rue Eugène Copette",,,,way
"Rue Eugène Hambursin",,,,way
"Rue Eugène Thibaut",,,,way
"Rue Félicien Deneumoustier",,,,way
"Rue Félicien Terwagne",,,,way
"Rue Félix Martin",,,,way
"Rue Félix Wodon",,,,way
"Rue Ferdinand Philippot",,,,way
"Rue Ferdinand et Albert Marinus",,,,way
"Rue Fernand Bourgeois",,,,way
"Rue Fernand Cochard",,,,way
"Rue Fernand Danhaive",,,,way
"Rue Fernand Derenne",,,,way
"Rue Fernand Hanchir",,,,way
"Rue Fernand Marchand",,,,way
"Rue Fernand Stimart",,,,way
"Rue Florent Delvaux",,,,way
"Rue Florent Dethier",,,,way
"Rue Florent Piret",,,,way
"Rue Florimond Bidron",,,,way
"Rue Fond Saint-Poirer",,,,way
"Rue Fond d'Arquet",,,,way
"Rue Fonds de Wartet",,,,way
"Rue Fonds des Maréchaux",,,,way
"Rue Fontaine des Prés",,,,way
"Rue Fort Saint-Antoine",,,,way
"Rue Fosse-à-l'Eau",,,,way
"Rue Foyer Jambois",,,,way
"Rue François Boussemanne",,,,way
"Rue François Bovesse",,,,way
"Rue François Dufer",,,,way
"Rue François Lorge",,,,way
"Rue Frères Biéva",,,,way
"Rue Fumal",,,,way
"Rue Gabriel de Moriamé",,,,way
"Rue Gabrielle Chatelain",,,,way
"Rue Galliot",,,,way
"Rue Gameda",,,,way
"Rue Général Michel",,,,way
"Rue Géniton",,,,way
"Rue Georges Attout",,,,way
"Rue Georges Davreux",,,,way
"Rue Georges Eloy",,,,way
"Rue Georges Emmanuel",,,,way
"Rue Georges Genot",,,,way
"Rue Georges Parmentier",,,,way
"Rue Georges Roquiny",,,,way
"Rue Godard",,,,way
"Rue Godefroid",,,,way
"Rue Grand Pré",,,,way
"Rue Grande",,,,way
"Rue Grandgagnage",,,,way
"Rue Grétry",,,,way
"Rue Gustave Defnet",,,,way
"Rue Gustave Guidet",,,,way
"Rue Gustave Laforge",,,,way
"Rue Gustave Verbeeck",,,,way
"Rue Guyaux",,,,way
"Rue Haie Boisnard",,,,way
"Rue Haie Francotte",,,,way
"Rue Haie du Loup",,,,way
"Rue Haie-du-Loup",,,,way
"Rue Haigneaux",,,,way
"Rue Hannah Arendt",,,,way
"Rue Haute Fitombre",,,,way
"Rue Haute Marcelle",,,,way
"Rue Haymont",,,,way
"Rue Hébar",,,,way
"Rue Hector Fontaine",,,,way
"Rue Hélène De Visscher",,,,way
"Rue Henri Blès",,,,way
"Rue Henri Burniaux",,,,way
"Rue Henri Evenepoel",,,,way
"Rue Henri Lecocq",,,,way
"Rue Henri Lemaître",,,,way
"Rue Henri Linchet",,,,way
"Rue Henry Bodart",,,,way
"Rue Henry Dandoy",,,,way
"Rue Houyoux",,,,way
"Rue Hubert Gaines",,,,way
"Rue Hugo d'Oignies",,,,way
"Rue Isidore Denison",,,,way
"Rue Jacques Dubois",,,,way
"Rue Jean Bebronne",,,,way
"Rue Jean Chalon",,,,way
"Rue Jean Ciparisse",,,,way
"Rue Jean Colin",,,,way
"Rue Jean Deremince",,,,way
"Rue Jean Fontaine",,,,way
"Rue Jean Geuvens",,,,way
"Rue Jean Gilson",,,,way
"Rue Jean Matagne",,,,way
"Rue Jean Maus",,,,way
"Rue Jean Noël",,,,way
"Rue Jean Tousseul",,,,way
"Rue Jean de Dampierre",,,,way
"Rue Jean-Baptiste Brabant",,,,way
"Rue Jean-Baptiste Fichefet",,,,way
"Rue Jean-Joseph Gaillard",,,,way
"Rue Joli Champ",,,,way
"Rue Joseph Arnould",,,,way
